ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Project Duration,Reduce total time from project start to end,MinProjectDuration,Project,Min,🟢
G2,Maximize Team Velocity,Increase average story points completed per sprint,MaxTeamVelocity,Sprint;Velocity,Max,🟢
G3,Minimize Budget Variance,Keep actual spend close to budgeted amount,MinBudgetVariance,Project,Min,🟢
G4,Maximize Stakeholder Satisfaction,Improve satisfaction ratings from stakeholders,MaxStakeholderSat,Stakeholder;Sprint Review,Max,🟢
G5,Maximize Feature Throughput,Deliver as many features as possible per release,MaxFeatureThroughput,Feature;Release Plan,Max,🟢
G6,Minimize Blockers,Reduce number of unresolved blockers per sprint,MinBlockerCount,Blocker / Problem / Bug;Sprint,Min,🟢
G7,Maximize Team Utilization,Ensure high utilization without overload,MaxTeamUtil,Team;Worker / Employee,Max,🟡
G8,Minimize Sprint Planning Time,Reduce duration of Sprint Planning meetings,MinPlanningTime,Sprint Planning,Min,🟡
G9,Maximize Skills Coverage,Ensure team covers required competencies,MaxSkillCoverage,Skill / Competence;Team,Max,🟢
G10,Minimize Task Switches,Reduce context switching between tasks,MinTaskSwitches,Task / Sub-Task,Min,🟡
G11,Maximize Release Frequency,Increase number of releases in a roadmap period,MaxReleaseFreq,Release Plan;Roadmap,Max,🟡
G12,Minimize Defect Leakage,Reduce bugs found in production,MinDefectLeakage,Blocker / Problem / Bug;Development Snapshot,Min,🟢
