ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,require_scrum_master_per_team,Each team must have exactly one ScrumMaster,False,min,Team,team_status,2,1.0
C1,require_valid_product_owner_email,ProductOwner must have a valid email,False,max,ProductOwner,email,2,1.0
C2,require_active_sprint_status,All sprints must have status 'Active' or 'Completed',False,max,Sprint,status,2,1.0
C3,require_defined_feature_priority,Features must have a defined priority,False,max,Feature,priority,2,1.0
C4,require_valid_release_plan,Release plans must have at least one included feature,False,min,ReleasePlan,included_features,2,1.0
C5,require_valid_blocker_status,Blockers must have a defined status,False,max,Blocker,status,2,1.0
C6,require_valid_velocity_data,Velocity data must be non-negative,False,min,Velocity,avg._story_points,2,1.0
C7,require_valid_sprint_duration,Sprint duration must be between 1-4 weeks,False,max,Sprint,start_date,2,1.0
C8,require_valid_team_size,Teams must have 3-10 members,False,max,Team,team_size,2,1.0
C9,require_valid_task_effort,Tasks must have effort between 1-8 hours,False,max,Task,effort,2,1.0
C10,require_valid_user_story_status,User stories must have a valid status,False,max,UserStory,status,2,1.0
C11,require_valid_worker_availability,Workers must have defined availability,False,max,Worker,availability,2,1.0
C12,require_valid_project_budget,Projects must have a defined budget,False,max,Project,budget,2,1.0
C13,require_valid_sprint_goal,Sprint goals must be non-empty,False,max,SprintGoal,achievement_status,2,1.0
C14,require_valid_retrospective_data,Sprint retrospectives must have team satisfaction,True,max,SprintRetrospective,team_satisfaction,2,1.0
