ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_sprint_goal_achievement,Maximize the achievement of sprint goals,True,max,SprintGoal,achievement_status,2,1.0
G1,minimize_open_blockers,Minimize the number of open blockers,True,min,Blocker,status,2,1.0
G2,maximize_team_velocity,Maximize the average velocity of teams,True,max,Velocity,avg._story_points,2,1.0
G3,maximize_team_satisfaction,Maximize team satisfaction from retrospectives,True,max,SprintRetrospective,team_satisfaction,2,1.0
G4,maximize_completed_user_stories,Maximize the number of completed user stories,True,max,UserStory,status,2,1.0
G5,minimize_project_budget_overrun,Minimize project budget overruns,True,min,Project,budget,2,1.0
G6,maximize_sprint_review_attendees,Maximize attendees in sprint reviews,True,max,SprintReview,attendees_count,2,1.0
G7,maximize_development_snapshots,Maximize the number of development snapshots,True,max,DevelopmentSnapshot,version_number,2,1.0
G8,maximize_release_included_features,Maximize features included in release plans,True,max,ReleasePlan,included_features,2,1.0
G9,minimize_sprint_delays,Minimize the number of delayed sprints,True,min,Sprint,status,2,1.0
G10,maximize_feature_prioritization,Maximize high-priority features completed,True,max,Feature,priority,2,1.0
G11,maximize_story_points_per_sprint,Maximize story points completed per sprint,True,max,Sprint,achievement_of_goal,2,1.0
G12,maximize_worker_utilization,Maximize worker task assignments,True,max,Worker,availability,2,1.0
G13,maximize_project_target_audience,Maximize projects with defined target audiences,True,max,Project,target_audience,2,1.0
G14,maximize_release_frequency,Maximize the number of releases per year,True,max,ReleasePlan,included_features,2,1.0
