ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,worker_task_count,Number of tasks assigned to a worker,integer,{0,1,...,10},0,10
D1,feature_priority_level,Priority level for a feature,integer,{1,2,3,4,5},1,5
D2,sprint_duration_days,Duration of a sprint in days,integer,{1,2,...,30},1,30
D3,team_size,Number of members in a team,integer,{3,4,...,10},3,10
D4,velocity_story_points,Average story points per sprint,float,{0.0,1.0,...,100.0},0,100
D5,release_sprint_count,Number of sprints in a release plan,integer,{1,2,...,10},1,10
D6,user_story_story_points,Story points assigned to a user story,integer,{1,2,...,13},1,13
D7,task_effort_hours,Estimated effort for a task,integer,{1,2,...,8},1,8
D8,scrumboard_columns,Number of columns on a ScrumBoard,integer,{3,4,5},3,5
D9,release_included_features,Number of features in a release plan,integer,{1,2,...,100},1,100
D10,blocker_severity,Severity level of a blocker,integer,{1,2,3},1,3
D11,project_target_audience_count,Number of target audiences for a project,integer,{1,2,...,5},1,5
D12,worker_availability_hours,Available hours per week for a worker,integer,{20,25,...,40},20,40
D13,release_frequency_months,Frequency of releases in months,integer,{1,2,...,12},1,12
D14,sprint_review_attendee_count,Maximum attendees for a sprint review,integer,{5,10,...,20},5,20
