ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Binary decision to assign a specific Team to a specific Project,integer,{0,1},0,1
DV1,assign_worker_to_team,Binary decision to assign a specific Worker to a specific Team,integer,{0,1},0,1
DV2,assign_story_to_sprint,Binary decision to include a specific User Story in a specific Sprint,integer,{0,1},0,1
DV3,assign_task_to_worker,Binary decision to assign a specific Task to a specific Worker,integer,{0,1},0,1
DV4,story_point_estimate,The estimated story points for a User Story,integer,,1,20
DV5,sprint_duration,The duration of a sprint in days,integer,,7,21
DV6,team_velocity,The planned velocity for a team in a given sprint,integer,,0,50
DV7,project_priority,The numerical priority level of a project (higher = more important),integer,,1,10
DV8,feature_priority,The numerical priority level of a feature within a backlog,integer,,1,100
DV9,worker_availability_pct,The percentage of time a worker is available in a sprint,float,,0.0,1.0
DV10,ceremony_duration,The allocated duration in minutes for a Scrum ceremony,integer,,15,240
DV11,skill_level,The proficiency level assigned to a worker for a skill,integer,,1,5
