ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,minimize_total_budget,Minimize the total budget consumed by all projects,True,min,Project,budget,2,1.0
G1,maximize_team_utilization,Maximize the average utilization of teams,False,max,Team,team_status,1,0.9
G2,maximize_feature_completion,Maximize the number of features with status 'Done',True,max,Feature,status,2,1.2
G3,minimize_blocker_impact,Minimize the number of unresolved high-severity blockers,True,min,Blocker,severity,2,1.5
G4,maximize_velocity_consistency,Maximize the team's minimum velocity to ensure consistent output,False,max,Velocity,avg._story_points,1,0.8
G5,minimize_sprint_overhead,Minimize the total time spent in ceremonies (planning, review, retrospective),True,min,SprintPlanning,duration_(min),1,0.7
G6,maximize_stakeholder_satisfaction,Maximize the average influence level of satisfied stakeholders,False,max,Stakeholder,influence_level,1,1.1
G7,minimize_context_switching,Minimize the number of different features a team works on in one sprint,True,min,Team,team_type,1,0.85
G8,maximize_skill_application,Maximize the use of certified skills across the workforce,True,max,Worker,certified,1,0.95
G9,minimize_project_delay,Minimize the delay between planned and actual project end dates,True,min,Project,project_end,2,1.3
