"Keyword","Category","Description","RelevantScrumEntities"
"Requirement Extraction","NLP Task","Extracting functional and non-functional requirements from natural language text","Product Backlog, User Stories"
"Named Entity Recognition","NLP Technique","Identifying and categorizing entities (e.g., actors, objects, locations) in requirements text","User Stories, Acceptance Criteria"
"Part-of-Speech Tagging","NLP Technique","Identifying the grammatical category of each word (e.g., noun, verb, adjective) in requirements text","User Stories, Requirements Description"
"Dependency Parsing","NLP Technique","Analyzing the grammatical structure of requirements text","User Stories, Requirements Description"
"Sentiment Analysis","NLP Technique","Determining the sentiment (positive, negative, neutral) of stakeholders towards requirements","Stakeholder Feedback, Sprint Review"
"Topic Modeling","NLP Technique","Identifying underlying topics or themes in large volumes of requirements text","Product Backlog, Requirements Prioritization"
"Requirements Complexity Analysis","NLP Application","Evaluating the complexity of requirements based on linguistic features (e.g., sentence length, vocabulary)","User Stories, Sprint Planning"
"Requirements Ambiguity Detection","NLP Application","Identifying ambiguous or unclear requirements using linguistic features (e.g., vague terms, ambiguous pronouns)","User Stories, Requirements Refinement"
"Automated Requirements Prioritization","NLP Application","Prioritizing requirements based on stakeholder feedback, business value, and complexity","Product Backlog, Sprint Planning"
"Requirements Traceability","NLP Application","Tracking the relationships between requirements, user stories, and test cases","User Stories, Test Cases, Requirements Matrix"
"Stakeholder Feedback Analysis","NLP Application","Analyzing stakeholder feedback to identify patterns, trends, and insights","Sprint Review, Stakeholder Feedback"
