ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,project_started,Project must have started,True,all,Project,start_date,1,1.0
C1,project_ended,Project should not be ongoing,True,all,Project,end_date,0,1.0
C2,team_members_available,All team members should be available for the sprint,True,all,Team,status,1,1.0
C3,employee_skills_match,Employees must have required skills for assigned tasks,True,all,Task,skill_id,1,1.0
C4,user_story_acceptance,User stories should be accepted in the sprint review,True,all,SprintReview,achievement_of_goal,2,1.0
C5,development_snapshot_created,A development snapshot must be created at the end of each sprint,True,all,DevelopmentSnapshot,creation_date,2,1.0
C6,blocker_resolved,All blockers should be resolved before proceeding to the next sprint,True,all,Blocker,resolved_on,2,1.0
C7,stakeholder_satisfaction,Stakeholders should be satisfied with the product development,True,all,Stakeholder,team_satisfaction,2,1.0
C8,velocity_increase,Velocity should increase over time,True,all,Velocity,avg._story_points,1,1.0
C9,release_plan_completed,Release plan for the current version must be completed,True,all,ReleasePlan,status,2,1.0
