ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_budget,Maximizing the project budget,False,max,Project,Budget,2,1.5
G1,minimize_project_duration,Minimizing the project duration,True,min,Project,project_end - project_start,2,0.75
G2,maximize_team_size,Maximizing team size for faster delivery,False,max,Team,team_size,2,1.5
G3,minimize_team_turnover,Minimizing team turnover to maintain consistency,True,min,Team,id,1,0.75
G4,maximize_employee_skills,Maximizing employee skills for efficient work,False,max,Employee,Level,2,1.5
G5,minimize_task_effort,Minimizing task effort to save resources,True,min,Task,Effort,2,0.75
G6,maximize_user_story_points,Maximizing user story points for faster progress,False,max,UserStory,Story_points,2,1.5
G7,minimize_sprint_duration,Minimizing sprint duration to improve agility,True,min,Sprint,end_date - start_date,2,0.75
G8,maximize_stakeholder_influence,Maximizing stakeholder influence for better alignment,False,max,Stakeholder,influence_level,2,1.5
G9,minimize_project_cost,Minimizing project cost to optimize resources,True,min,Project,budget - (velocity * velocity),2,0.75
