ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Task Effort Within Limits,Tasks should have effort estimates within a realistic range,TaskEffortValid,Task,Min,🟢
C02,Team Size Limits,Team size should not exceed planned maximum,MaxTeamSize,Team,Max,🟢
C03,Role Coverage,Each team must have required roles assigned,TeamRoleCoverage,"Team, Employee, Role",Min,🟢
C04,Availability Threshold,Employees must have minimum availability during sprint,MinAvailability,Employee,Min,🟢
C05,Blocker Severity Threshold,Blockers above a severity threshold must be resolved before sprint completion,CriticalBlockerResolved,Blocker,Min,🟢
C06,Sprint Goal Achievement,Sprint goal should be achieved at least 80%,SprintGoalAchieved,"Sprint, Sprint Goal",Min,🟢
C07,Skill Level Minimum,Employees assigned to tasks require minimum skill level,MinSkillLevel,"Employee, Skill, Task",Min,🟢
C08,Product Owner Availability,Product Owner must be available for backlog refinement meetings,POAvailability,Product Owner,Min,🟢
C09,Documentation Completeness,Features must have associated documentation before release,FeatureDocComplete,"Feature, Feature Documentation",Min,🟢
C10,Sprint Planning Frequency,Sprint planning meetings must occur before sprint starts,SprintPlanFrequency,Sprint Planning,Min,🟢
