ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Minimize Project Duration,Reduce overall duration between start and end dates of all projects,min_project_duration,Project,Min,🟢
G02,Maximize Team Utilization,Ensure all team members are optimally allocated to tasks,max_team_utilization,Team,Max,🟡
G03,Maximize Feature Delivery Speed,Increase number of features delivered per sprint,max_feature_delivery,Feature,Max,🟡
G04,Minimize Employee Idle Time,Reduce time employees are not assigned to tasks,min_idle_time,Employee,Min,🟢
G05,Maximize Skill Utilization,Assign tasks to employees based on their competencies,max_skill_fit,Skill / Competence,Max,🟢
G06,Maximize Customer Satisfaction,Align feature development with stakeholder interest,max_customer_satisfaction,Stakeholder,Max,🟡
G07,Minimize Blockers,Reduce number of blockers during sprint development,min_blockers,Blocker / Problem / Bug,Min,🟢
G08,Maximize Backlog Turnover,Ensure a high rate of backlog item completion per sprint,max_backlog_turnover,Product Backlog,Max,🟢
G09,Maximize Sprint Goal Achievement,Achieve sprint goals successfully,max_goal_achievement,Sprint Goal,Max,🟢
G10,Minimize Overbudget Risk,Keep project budget within limits,min_budget_overflow,Project,Min,🟢
