ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_assignment,Indicates if a project is selected for sprint planning,integer,"{0,1}",0,1
DV1,team_assignment,Assignment of a team to a project,integer,"{0,1}",0,1
DV2,worker_assignment,Assignment of a worker to a task,integer,"{0,1}",0,1
DV3,skill_level,Proficiency level of a worker in a skill,numeric,continuous,1,5
DV4,task_effort_assigned,Effort allocated to a task by a worker,numeric,continuous,0,100
DV5,sprint_duration,Sprint length in days,integer,discrete,5,30
DV6,user_story_priority,Priority level of a user story,numeric,discrete,1,5
DV7,story_points_assigned,Story points assigned to a user story,numeric,discrete,1,13
DV8,blocker_severity_level,Severity level of a blocker,numeric,discrete,1,5
DV9,velocity_sprints_count,Number of sprints used to calculate velocity,integer,discrete,3,10
DV10,release_version_number,Version number for a release,numeric,continuous,1.0,10.0
DV11,roadmap_objective_weight,Weight assigned to a roadmap objective,numeric,continuous,0.1,5.0
DV12,documentation_update_count,Number of times documentation was updated,integer,discrete,0,100
DV13,retrospective_improvement_actions,Number of improvement actions from retrospective,integer,discrete,0,20
DV14,scrum_board_column_count,Number of columns on a Scrum board,integer,discrete,3,7
