ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary: assign worker to task,Boolean,{0,1},0,1
DV1,select_feature_for_sprint,Binary: include feature in sprint,Boolean,{0,1},0,1
DV2,plan_sprint_duration,Integer: length of sprint in days,Integer,{7,14,21},7,21
DV3,allocate_budget_to_project,Continuous: budget assigned to project,Float,,1000,100000
DV4,schedule_daily_scrum,Binary: daily scrum held on day,Boolean,{0,1},0,1
DV5,activate_team,Binary: activate team for project,Boolean,{0,1},0,1
DV6,start_project,Binary: initiate project timeline,Boolean,{0,1},0,1
DV7,resolve_blocker,Binary: resolve blocker within sprint,Boolean,{0,1},0,1
DV8,approve_release,Binary: approve release plan,Boolean,{0,1},0,1
DV9,update_documentation,Binary: update documentation version,Boolean,{0,1},0,1
DV10,moderate_retrospective,Binary: Scrum Master moderates retrospective,Boolean,{0,1},0,1
DV11,estimate_story_points,Integer: assign story points to user story,Integer,,1,13
DV12,define_sprint_goal,Binary: define sprint goal before sprint,Boolean,{0,1},0,1
DV13,track_velocity,Binary: calculate velocity after sprint,Boolean,{0,1},0,1
DV14,invite_stakeholder,Binary: invite stakeholder to review,Boolean,{0,1},0,1
