ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Sprint Duration,Reduce the average sprint duration to improve agility,minimize_sprint_duration,Sprint,Min,🟡
G2,Maximize Team Availability,Ensure teams are sufficiently available during sprints,maximize_team_availability,Team,Max,🟢
G3,Minimize Blockers,Reduce the number of unresolved blockers per sprint,minimize_blockers,Blocker / Problem / Bug,Min,🟢
G4,Maximize Feature Completion,Increase the number of features completed in each sprint,maximize_feature_completion,Feature,Max,🟢
G5,Maximize Team Satisfaction,Ensure high satisfaction levels reported in retrospectives,maximize_team_satisfaction,Sprint Retrospective,Max,🟡
G6,Minimize Task Effort,Reduce average effort per task for better efficiency,minimize_task_effort,Task / Sub-Task,Min,🟢
G7,Maximize Skill Coverage,Ensure team has maximum skill coverage for backlog items,maximize_skill_coverage,Skill / Competence,Max,🟢
G8,Maximize Stakeholder Engagement,Engage more stakeholders in sprint reviews,maximize_stakeholder_engagement,Stakeholder,Max,🟡
G9,Maximize Backlog Clarity,Ensure backlog items are clear and updated,maximize_backlog_clarity,Product Backlog,Max,🟡
G10,Maximize Deployment Readiness,Increase development snapshot test pass rate,maximize_deployment_readiness,Development Snapshot,Max,🟢
