ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Minimize Project Duration,Reduce total project execution time,MinProjectDuration,Project,Min,🟢
G02,Maximize Team Utilization,Ensure teams are optimally assigned to tasks,MaxTeamUtilization,Team,Max,🟢
G03,Minimize Task Effort,Reduce the overall effort required to complete tasks,MinTaskEffort,Task / Sub-Task,Min,🟢
G04,Maximize Feature Completion Rate,Deliver as many features as possible per sprint,MaxFeatureCompletionRate,Feature,Max,🟡
G05,Minimize Number of Blockers,Reduce the occurrence of bugs/blockers,MinBlockers,Blocker / Problem / Bug,Min,🟢
G06,Maximize Stakeholder Satisfaction,Achieve higher feedback ratings from stakeholders,MaxStakeholderSatisfaction,Stakeholder,Max,🟡
G07,Maximize Skill Matching,Assign tasks to workers with best skill fit,MaxSkillMatchQuality,Employee,Max,🟢
G08,Minimize Task Switching,Reduce number of different task types per employee,MinTaskSwitching,Employee,Min,🟡
G09,Maximize Sprint Goal Achievement,Ensure most sprint goals are fully met,MaxSprintGoalAchievement,Sprint Goal,Max,🟢
G10,Minimize Budget Usage,Stay within or below project budget,MinBudgetUse,Project,Min,🟢
