ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
D01,TeamAssignment,Assign employees to teams,EmployeeToTeam,Employee,Integer,1,5
D02,TaskAssignment,Assign tasks to employees,EmployeeToTask,Task / Sub-Task,Integer,1,10
D03,TaskEffortEstimate,Estimated effort per task,TaskEffort,Task / Sub-Task,Float,1.0,40.0
D04,FeaturePriority,Priority level of each feature,FeaturePriority,Feature,Integer,1,5
D05,SprintLength,Duration of each sprint in days,SprintDuration,Sprint,Integer,7,28
D06,WorkerAvailability,Availability score of employee,Availability,Employee,Float,0.0,1.0
D07,SkillLevel,Proficiency level for each skill,SkillProficiency,Skill / Competence,Integer,1,5
D08,BudgetAllocation,Budget assigned to each feature,FeatureBudget,Feature,Float,1000.0,10000.0
D09,SprintTaskCount,Number of tasks in a sprint,SprintTasks,Sprint Backlog,Integer,1,50
D10,ReleaseDate,Planned date of feature release,FeatureReleaseDate,Release Plan,Date,, 
