"Rank","Name","Abbreviation","Description","Solvability","Example","Appearances"
"1","Linear Programming","LP","Optimize a linear objective function subject to linear constraints","High","Maximize profit given resource constraints","10"
"2","Integer Programming","IP","Optimize a linear objective function subject to linear constraints with integer variables","Medium","Scheduling with integer resources","8"
"3","Mixed-Integer Linear Programming","MILP","Optimize a linear objective function subject to linear constraints with both integer and continuous variables","Medium","Supply chain optimization with fixed costs","8"
"4","Nonlinear Programming","NLP","Optimize a nonlinear objective function subject to nonlinear constraints","Low","Optimize a chemical process with nonlinear reactions","7"
"5","Quadratic Programming","QP","Optimize a quadratic objective function subject to linear constraints","High","Portfolio optimization with risk management","7"
"6","Dynamic Programming","DP","Break down complex problems into smaller subproblems and solve recursively","High","Shortest path problems","6"
"7","Stochastic Programming","SP","Optimize problems with uncertain parameters","Low","Portfolio optimization with uncertain returns","6"
"8","Convex Optimization","CO","Optimize convex objective functions subject to convex constraints","High","Support vector machines","5"
"9","Nonconvex Optimization","NCO","Optimize nonconvex objective functions subject to nonconvex constraints","Low","Optimize a nonconvex function with multiple local minima","4"
"10","Semidefinite Programming","SDP","Optimize a linear objective function subject to linear matrix inequalities","Medium","Optimize a graph with semidefinite constraints","3"
"11","Second-Order Cone Programming","SOCP","Optimize a linear objective function subject to second-order cone constraints","Medium","Robust portfolio optimization","2"
"12","Bilevel Programming","BP","Optimize a problem with a nested optimization problem","Low","Optimize a system with a nested control problem","1"
