"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","project_budget_allocation","Project budget allocation","float","{x | 0 <= x <= 100}",0,100
"D1","team_size_allocation","Team size allocation","int","{x | 5 <= x <= 20}",5,20
"D2","feature_priority_level","Feature priority level","int","{1, 2, 3}",1,3
"D3","task_effort_allocation","Task effort allocation","float","{x | 0 <= x <= 100}",0,100
"D4","sprint_velocity_target","Sprint velocity target","int","{x | 10 <= x <= 50}",10,50
"D5","blocker_resolution_priority","Blocker resolution priority","int","{1, 2, 3}",1,3
"D6","stakeholder_influence_level","Stakeholder influence level","int","{1, 2, 3}",1,3
"D7","sprint_planning_duration_target","Sprint planning duration target","int","{x | 30 <= x <= 120}",30,120
"D8","sprint_goal_achievement_target","Sprint goal achievement target","float","{x | 0 <= x <= 1}",0,1
"D9","development_snapshot_quality_target","Development snapshot quality target","float","{x | 0 <= x <= 1}",0,1
"D10","feature_documentation_quality_target","Feature documentation quality target","float","{x | 0 <= x <= 1}",0,1
"D11","sprint_retrospective_duration_target","Sprint retrospective duration target","int","{x | 30 <= x <= 90}",30,90
"D12","team_satisfaction_target","Team satisfaction target","float","{x | 0 <= x <= 1}",0,1
"D13","release_plan_delay_tolerance","Release plan delay tolerance","int","{x | 0 <= x <= 30}",0,30
"D14","roadmap_milestone_achievement_target","Roadmap milestone achievement target","float","{x | 0 <= x <= 1}",0,1
