ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Capacity Limit,Team size and availability should not exceed planned sprint workload,TeamCapacityLimit,Team,Max,🟢
C2,Skill Match for Tasks,Assigned employees must match required skills for tasks,SkillTaskMatch,Task / Sub-Task,Max,🟢
C3,One Role per Employee per Sprint,Each employee should take on a single role per sprint,SingleRolePerSprint,Worker / Employee,Max,🔴
C4,Task Must Belong to Sprint,Every task must be part of an active sprint,TaskInSprint,Task / Sub-Task,Max,🟢
C5,Feature Must Be Documented,All completed features must have documentation,FeatureDocumentationComplete,Feature,Max,🟢
C6,No Overlapping Assignments,An employee cannot work on two tasks at the same time,NoTaskOverlap,Worker / Employee,Min,🔴
C7,Certified Scrum Master Required,Each team must be supported by a certified Scrum Master,CertifiedScrumMaster,Team,Max,🟢
C8,Availability Threshold,Only employees with >= 80% availability can be assigned critical tasks,AvailabilityThreshold,Worker / Employee,Min,🔴
C9,Retrospective Participation Required,All team members must attend retrospectives,FullRetroParticipation,Sprint Retrospective,Max,🟢
C10,Feature Priority Alignment,Work should focus on high-priority features first,PriorityDrivenWork,Feature,Max,🟡
