ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,project_start_date,Project start date,Date,{2023-01-01,2024-12-31},0,365
D1,team_size,Team size,Integer,{1,2,3,...,10},1,10
D2,product_owner_availability,Product owner availability,Boolean,{0,1},0,1
D3,sprint_goal_achievement,Sprint goal achievement,Float,[0,1],0,1
D4,blocker_severity,Blocker severity,Integer,{1,2,3,...,5},1,5
D5,feature_priority,Feature priority,Integer,{1,2,3,...,5},1,5
D6,task_effort,Task effort,Integer,{1,2,3,...,100},1,100
D7,stakeholder_satisfaction,Stakeholder satisfaction,Float,[0,1],0,1
D8,development_snapshot_quality,Development snapshot quality,Float,[0,1],0,1
D9,scrum_board_productivity,Scrum board productivity,Integer,{1,2,3,...,100},1,100
D10,release_plan_delay,Release plan delay,Integer,{0,1,2,...,30},0,30
D11,sprint_planning_duration,Sprint planning duration,Integer,{30,60,90,...,240},30,240
D12,product_backlog_size,Product backlog size,Integer,{1,2,3,...,100},1,100
