ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
V1,Team Size,"Number of members in the development team.",team_size,Team,Integer,3,9
V2,Number of Sprints,"Total number of sprints planned for the project.",num_sprints,Project,Integer,1,20
V3,Sprint Duration,"Length of each sprint in days.",sprint_duration_days,Sprint,Integer,7,30
V4,Features per Sprint,"Number of features assigned to each sprint.",features_per_sprint,Sprint,Integer,0,10
V5,Story Points per Sprint,"Total story points allocated to each sprint backlog.",story_points_per_sprint,Sprint Backlog,Integer,0,50
V6,Employee Assignment,"Binary variable indicating if an employee is assigned to the project.",employee_assignment,Worker / Employee,Binary,0,1
V7,Budget per Sprint,"Amount of budget allocated to each sprint.",budget_per_sprint,Project,Continuous,0,Project.Budget
V8,Tasks per Employee,"Number of tasks assigned to each employee per sprint.",tasks_per_employee,Worker / Employee,Integer,0,20
V9,Release Version,"Version number for the release plan.",release_version,Release Plan,Integer,1,100
V10,Feature Inclusion,"Binary variable indicating if a feature is included in the release.",feature_inclusion,Feature,Binary,0,1
