Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial-time solvable using methods like the simplex algorithm or interior-point methods.,Maximize profit given production and resource constraints.,10
2,Integer Programming,IP,Optimization where some or all decision variables are constrained to take integer values.,"NP-hard in general, solved via branch-and-bound, cutting planes, or heuristics.",Scheduling staff shifts to meet constraints.,9
3,Mixed-Integer Linear Programming,MILP,Linear programming where some decision variables are restricted to integers.,NP-hard; often solved using commercial solvers with branch-and-bound or branch-and-cut.,Vehicle routing with capacity constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Polynomial-time solvable if convex; NP-hard if non-convex.,Portfolio optimization minimizing risk.,7
5,Nonlinear Programming,NLP,Optimization with a nonlinear objective function or nonlinear constraints.,May be solved with iterative methods; global optimality is hard to guarantee.,Optimizing chemical reactor conditions.,6
6,Convex Optimization,CO,Optimization where the objective and feasible set are convex.,Polynomial-time solvable using interior-point methods.,Support vector machine training.,5
7,Dynamic Programming,DP,"Breaks down problems into simpler subproblems, solving each only once and storing results.",Efficient for problems with overlapping subproblems and optimal substructure.,Shortest path in a graph.,4
8,Stochastic Programming,SP,Optimization that accounts for uncertainty in parameters via probability distributions.,Solved with scenario-based or decomposition methods.,Energy generation planning under uncertain demand.,3
9,Multi-objective Optimization,MOO,"Optimization with multiple, often conflicting, objectives.",Yields Pareto-optimal solutions; solved with evolutionary algorithms or scalarization.,Trade-off between cost and quality in design.,2
10,Combinatorial Optimization,CO,Optimization over a discrete but finite set of feasible solutions.,Often NP-hard; solved via exact algorithms or heuristics.,Traveling salesman problem.,1
