ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of teams,False,max,Velocity,avg._story_points,2,1.0
G1,minimize_blocker_severity,Minimize the severity of blockers,False,min,Blocker,severity,2,1.0
G2,maximize_sprint_goal_achievement,Maximize the achievement of sprint goals,False,max,SprintGoal,achievement_status,2,1.0
G3,minimize_sprint_duration,Minimize the duration of sprints,False,min,Sprint,end_date,2,1.0
G4,maximize_feature_completion,Maximize the completion of features,False,max,Feature,status,2,1.0
G5,minimize_task_effort,Minimize the effort required for tasks,False,min,Task,effort,2,1.0
G6,maximize_team_satisfaction,Maximize team satisfaction in retrospectives,False,max,SprintRetrospective,team_satisfaction,2,1.0
G7,minimize_number_of_blockers,Minimize the number of blockers,False,min,Blocker,id,2,1.0
G8,maximize_product_owner_availability,Maximize product owner availability,False,max,ProductOwner,availability,2,1.0
G9,minimize_scrum_master_experience,Minimize scrum master experience is not a goal, we want to maximize it,False,max,ScrumMaster,experience,2,1.0
G10,maximize_stakeholder_influence,Maximize stakeholder influence,False,max,Stakeholder,influence_level,2,1.0
G11,maximize_release_plan_status,Maximize release plan status,False,max,ReleasePlan,status,2,1.0
G12,minimize_task_duration,Minimize task duration,False,min,Task,duration,2,1.0
G13,maximize_development_snapshot_quality,Maximize development snapshot quality,False,max,DevelopmentSnapshot,test_status,2,1.0
G14,maximize_sprint_review_feedback,Maximize sprint review feedback,False,max,SprintReview,feedback_documentation,2,1.0
