ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_priority_weight,Weight assigned to project priority in ranking,Float,,0.0,10.0
DV1,team_size_capacity,Maximum number of workers per team,Integer,,1,20
DV2,worker_availability_hours,Weekly availability of a worker in hours,Integer,,0,40
DV3,task_effort_estimate,Effort estimate for a task in hours,Integer,,1,160
DV4,user_story_points,Story points assigned to a user story,Integer,{1,2,3,5,8,13},1,13
DV5,sprint_duration_days,Length of a sprint in days,Integer,{7,14,21,28},7,28
DV6,blocker_severity_level,Severity level of a blocker,Integer,{1,2,3},1,3
DV7,feature_priority_score,Priority score assigned to a feature,Integer,,1,10
DV8,velocity_avg_story_points,Average story points processed per sprint,Float,,0.0,100.0
DV9,stakeholder_influence_level,Influence level of a stakeholder,Integer,,0,5
DV10,release_version_number,Version number for a release,Float,,1.0,10.0
DV11,documentation_change_count,Number of changes in documentation,Integer,,0,100
DV12,scrum_board_column_count,Number of columns on a scrum board,Integer,,2,6
DV13,task_type_category,Type of task (e.g., dev, test, bug),String,"{development,testing,bug_fix,documentation}",,
DV14,skill_level_rating,Proficiency level in a skill,Integer,{1,2,3,4,5},1,5
