ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Must Assign Teams to Projects,Every team must be assigned to at least one project,teamProjectAssignment,"Team,Project",Min,🟢
C2,Employee Availability,Employees must be available for task assignment,employeeAvailability,Employee,Min,🟢
C3,Role Coverage,All required Scrum roles must be filled in a team,roleCoverage,"Employee,Role(s),Team",Min,🟢
C4,Sprint Duration Limits,Sprints must be within fixed time periods,sprintDurationLimit,Sprint,Min,🟢
C5,Budget Constraints,Project expenses cannot exceed budget,budgetConstraint,Project,Min,🟢
C6,Feature Priority,High priority features should be scheduled first,featurePriorityScheduling,"Feature,Product Backlog",Min,🟡
C7,Skill Matching,Tasks require employees with matching skills,skillTaskMatch,"Employee,Skill,Task / Sub-Task",Min,🟢
C8,Max Team Size,Teams cannot exceed maximum size limits,maxTeamSize,Team,Max,🟢
C9,Blocker Resolution,Blockers must be resolved within sprint duration,blockerResolutionTime,"Blocker / Problem / Bug,Sprint",Min,🟢
C10,Sprint Goal Presence,Each sprint must have a defined sprint goal,sprintGoalPresence,"Sprint,Sprint Goal",Min,🟢
