ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,Sprint Duration,Length of a sprint in days,SprintDuration,Sprint,Integer,7,30
DV02,Max Tasks per Sprint,Limit the number of tasks per sprint,MaxTasksPerSprint,Sprint Backlog,Integer,5,50
DV03,Team Size,Number of members in a team,TeamSize,Team,Integer,3,12
DV04,Task Effort,Effort assigned to a task in hours,TaskEffort,Task / Sub-Task,Float,1,16
DV05,Employee Availability,Number of hours per week a worker is available,Availability,Worker / Employee,Float,0,40
DV06,Max Blocker Age,Max duration before blocker resolution,MaxBlockerAge,Blocker / Problem / Bug,Integer,1,10
DV07,Certified Skill Ratio,Percentage of certified skills per employee,CertifiedSkillRatio,Skill / Competence,Float,0.0,1.0
DV08,Velocity Threshold,Minimum acceptable team velocity,VelocityThreshold,Velocity,Integer,10,100
DV09,Story Points per Sprint,Target number of story points completed in a sprint,StoryPointsPerSprint,Sprint,Integer,20,100
DV10,Stakeholder Feedback Score,Target average feedback from stakeholders,FeedbackScore,Sprint Review,Float,0.0,10.0
