ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_availability,Increase the availability of team members,False,max,Worker,availability,1,1.0
G1,maximize_sprint_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_of_goal,1,1.0
G2,maximize_team_satisfaction,Increase team satisfaction from retrospectives,False,max,SprintRetrospective,team_satisfaction,1,1.0
G3,maximize_velocity,Increase the average story points per sprint,False,max,Velocity,avg._story_points,1,1.0
G4,minimize_blocker_severity,Reduce the severity of blockers,False,min,Blocker,severity,1,1.0
G5,maximize_feature_completion,Increase the number of completed features,False,max,Feature,status,1,1.0
G6,maximize_user_story_completion,Increase the number of completed user stories,False,max,UserStory,status,1,1.0
G7,maximize_task_completion,Increase the number of completed tasks,False,max,Task,status,1,1.0
G8,minimize_sprint_duration,Reduce the duration of sprints,False,min,Sprint,duration,1,1.0
G9,maximize_product_owner_availability,Increase the availability of the product owner,False,max,ProductOwner,availability,1,1.0
G10,maximize_scrum_master_experience,Increase the experience of the scrum master,False,max,ScrumMaster,experience,1,1.0
