ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"A binary variable indicating if a worker (w) is assigned to a task (tsk).",boolean,"{0,1}",0,1
DV1,assign_user_story_to_sprint,"A binary variable indicating if a user story (us) is included in a sprint (sp).",boolean,"{0,1}",0,1
DV2,assign_team_to_project,"A binary variable indicating if a team (t) is assigned to a project (p).",boolean,"{0,1}",0,1
DV3,assign_feature_to_release,"A binary variable indicating if a feature (f) is assigned to a release plan (rep).",boolean,"{0,1}",0,1
DV4,set_sprint_start_date,"The scheduled start date for a specific sprint.",integer,,1,
DV5,set_sprint_end_date,"The scheduled end date for a specific sprint.",integer,,1,
DV6,set_team_size,"The number of workers assigned to a specific team.",integer,,3,9
DV7,allocate_worker_effort_to_task,"The percentage of a worker's capacity allocated to a specific task.",float,,0,100
DV8,set_feature_priority,"The priority level assigned to a feature, where a higher number is more important.",integer,,1,10
DV9,select_sprint_for_backlog,"An integer representing the sprint ID a sprint backlog belongs to.",integer,,1,
DV10,set_user_story_story_points,"The estimated effort in story points for a user story.",integer,,1,100
DV11,link_task_to_story,"An integer representing the user story ID a task is linked to.",integer,,1,
