ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_story_to_sprint,Binary choice to assign a specific User Story to a specific Sprint.,boolean,"{0,1}",0,1
DV1,assign_task_to_worker,Binary choice to assign a specific Task to a specific Worker.,boolean,"{0,1}",0,1
DV2,select_feature_for_release,Binary choice to include a specific Feature in a specific Release Plan.,boolean,"{0,1}",0,1
DV3,set_user_story_priority,Integer value representing the priority of a User Story (1=lowest).,integer,,1,10
DV4,estimate_story_points,Assignment of story points to a User Story, typically from a Fibonacci sequence.,integer,"{1,2,3,5,8,13,21}",1,21
DV5,order_backlog_item,Integer rank for a User Story within the Product Backlog.,integer,,1,
DV6,assign_team_to_project,Binary choice to assign a specific Team to a specific Project.,boolean,"{0,1}",0,1
DV7,set_sprint_duration_days,Integer value for the length of a sprint in business days.,integer,,5,20
DV8,allocate_budget_to_feature,Float value representing the portion of the project budget allocated to a feature.,float,,0,
DV9,assign_role_to_worker,Binary choice to assign a specific Role (e.g., Developer) to a Worker in a team.,boolean,"{0,1}",0,1
DV10,set_task_effort_hours,Float value for the estimated effort of a Task in hours.,float,,0.5,40
DV11,choose_scrum_master,Decision to assign a specific Scrum Master to a specific Team.,integer,ScrumMaster_IDs,,
