ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,Whether a specific user story is assigned to the target sprint,Binary,{0,1},0,1
DV1,select_feature_for_release,Whether a feature is included in the upcoming release,Binary,{0,1},0,1
DV2,assign_task_to_worker,Whether a task is assigned to a particular worker,Binary,{0,1},0,1
DV3,set_task_effort_hours,Effort (hours) set for a task,Real,R+,0,40
DV4,choose_sprint_for_user_story,Sprint number selected for a user story,Integer,Z+,1,99
DV5,decide_team_capacity_story_points,Planned capacity (story points) for the sprint,Real,R+,0,200
DV6,approve_blocker_resolution,Approval flag that a blocker is resolved and can be closed,Binary,{0,1},0,1
DV7,schedule_sprint_start_day,Day of month to start the sprint,Integer,Z,1,31
DV8,prioritize_feature_rank,Rank assigned to a feature within the release,Integer,Z+,1,100
DV9,budget_allocation_to_project,Allocated budget amount to the project (currency units),Real,R+,0,1000000
DV10,set_sprint_goal_benefit_target,Target benefit score for sprint goal,Real,R+,0,100
DV11,decide_number_of_tasks_in_sprintbacklog,Number of tasks to include in the sprint backlog,Integer,Z+,0,300
DV12,select_stakeholder_for_review,Whether a stakeholder is invited to Sprint Review,Binary,{0,1},0,1
