ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Assignment of worker to team,integer,"{0,1}",0,1
DV1,select_user_story_for_sprint,Inclusion of user story in sprint,integer,"{0,1}",0,1
DV2,plan_sprint_duration,Planned duration of a sprint in days,real,,1,30
DV3,estimate_task_effort,Estimated effort for a task,real,,0,40
DV4,set_feature_priority,Priority level assigned to a feature,integer,,1,5
DV5,allocate_budget_to_project,Budget allocation to a project,real,,1000,1000000
DV6,schedule_release_date,Planned release date as day of year,integer,,1,365
DV7,define_team_size,Number of members in a team,integer,,3,12
DV8,adjust_velocity_trend,Trend adjustment factor for velocity,real,[-1.0,1.0],-1.0,1.0
DV9,moderate_retrospective_time,Duration of retrospective in minutes,real,,15,90
DV10,update_documentation_version,Version number of documentation,real,,1.0,10.0
DV11,resolve_blocker_flag,Flag indicating if blocker is resolved,integer,"{0,1}",0,1
DV12,attend_stakeholder_review,Stakeholder attends sprint review,integer,"{0,1}",0,1
DV13,deploy_snapshot_target,Target environment for deployment,integer,"{0,1,2}",0,2
